[profilin] uM,pPB(18),pPB(18) error percent,pPB(18) error top,pPB(18) error bottom,pPC(18),pPC(18) error percent,pPC(18) error top,pPC(18) error bottom,pPD(18),pPD(18) error percent,pPD(18) error top,pPD(18) error bottom
0,0.01117318,0,0,0,-0.0074488,0,0,0,0.01117318,0,0,0
0.5,0.01117318,0.2192493475,0.60707635,-0.4916201,1.22160149,0.3082909301,2.18994413,0.27188082,4.5735568,0.2489787975,5.74674115,3.36312849
1,1.93296089,0.1531023363,2.45065177,1.38919926,1.59404097,0.2033323915,2.26443203,0.92364991,8.57728119,0.1330407351,9.48975791,7.68342644
2.5,1.48603352,0.3072064312,2.48789572,0.49534451,4.29422719,0.1282308153,4.90875233,3.716946,9.58286778,0.06512578488,10.0297952,9.08007449
5,1.77653631,0.2061005765,2.46927374,1.0726257,3.40037244,0.07758811822,3.73556797,3.08379888,8.18621974,0.1355740709,9.06145251,7.27374302
10,-0.0111732,0.2538260539,0.77467412,-0.4916201,-0.0074488,0.08951884159,0.2160149,-0.2309125,8.31657356,0.08949797293,8.9310987,7.73929236
17.5,-0.0111732,0.2426278499,0.70018622,-0.5102421,-0.0074488,0.3916449069,1.46368715,-0.4916201,3.43761639,0.1213860067,3.97765363,2.95344507
